station_id,latitude,longitude,yearly_avg_temp_c,days_recorded
USR0000AOKL,64.0217,-146.2522,0.7,363
USR0000AOKM,32.9572,-87.1706,18.34,365
USR0000AOLA,36.5072,-113.8161,18.68,365
USR0000AOPE,31.0944,-86.5486,20.37,365
USR0000APAL,60.1958,-154.32,5.16,365
USR0000APAM,67.7719,-152.195,-4.05,360
USR0000APAR,36.7278,-111.8219,10.08,365
USR0000APAX,62.9453,-145.5014,0.05,355
USR0000APAY,34.2431,-111.3028,14.69,365
USR0000APED,59.8944,-149.7308,6.58,337
USR0000APLE,34.0933,-110.9333,13.47,365
USR0000APOO,64.105,-155.5583,1.21,348
USR0000APRE,65.9233,-145.03,-2.52,365
USR0000APRO,34.3694,-111.025,8.81,365
USR0000APTM,61.4225,-150.0914,4.23,365
USR0000AQTZ,65.4,-164.65,-0.61,365
USR0000AQUA,37.5222,-112.2711,5.84,337
USR0000ARAB,61.0844,-149.7283,5.49,365
USR0000ARAG,40.5983,-113.0217,10.83,365
USR0000AREI,61.7161,-162.665,2.06,319
USR0000AREN,62.71,-146.6181,0.15,350
USR0000ARIN,32.2056,-110.5481,9.96,365
USR0000ARMC,67.6853,-154.4731,-4.83,362
USR0000AROU,64.6847,-153.94,-2.31,324
USR0000ARUC,31.7611,-109.3486,14.33,365
USR0000ARUT,62.7097,-150.5397,1.34,362
USR0000ASAG,32.3167,-110.8133,21.08,365
USR0000ASAK,60.4967,-151.0142,4.8,365
USR0000ASAR,64.8,-147.6167,3.77,267
USR0000ASAS,31.6908,-111.45,17.46,365
USR0000ASCA,33.3717,-110.4569,19.22,365
USR0000ASEL,66.6033,-159.1125,-1.35,365
USR0000ASES,31.91,-111.8975,21.19,365
USR0000ASEV,65.9383,-149.855,-0.88,337
USR0000ASHK,33.6472,-85.6344,16.91,365
USR0000ASIL,35.97,-92.7458,15.48,365
USR0000ASIS,67.995,-160.3956,-3.11,364
USR0000ASKI,60.4839,-150.4606,5.59,365
USR0000ASKT,64.6328,-159.9022,-4.45,365
USR0000ASLC,64.59,-146.14,-1.11,365
USR0000ASLR,67.4597,-159.8405,-1.66,365
USR0000ASMI,34.1158,-113.3472,21.22,365
USR0000ASNI,60.6103,-154.32,2.51,365
USR0000ASOL,32.4033,-110.7117,12.1,364
USR0000ASSA,37.5167,-112.5556,6.37,365
USR0000ASTA,34.1667,-112.7333,19.19,365
USR0000ASTH,33.5406,-109.3169,10.46,365
USR0000ASTK,35.8683,-94.2969,15.27,338
USR0000ASTM,63.7478,-150.328,-0.62,357
USR0000ASTO,61.0008,-153.8958,2.18,365
USR0000ASTU,64.7189,-146.5044,2.03,365
USR0000ASUN,34.1953,-112.1417,18.69,365
USR0000ASWA,60.7278,-150.8722,5.49,365
USR0000ATAH,67.5503,-163.5672,-1.48,362
USR0000ATAK,63.3253,-143.0017,-1.22,365
USR0000ATAL,33.4411,-86.0811,18,365
USR0000ATAN,60.9081,-142.6978,1,365
USR0000ATEB,61.1881,-144.4003,3.02,321
USR0000ATEL,63.44,-153.3567,-0.67,356
USR0000ATHO,55.75,-132.9833,8.05,365
USR0000ATKL,63.5242,-150.0433,2.41,248
USR0000ATOK,62.9572,-143.3467,0.86,336
USR0000ATRA,33.2667,-109.3683,13.54,365
USR0000ATRU,35.7825,-113.7942,14.34,365
USR0000ATTA,64.4044,-148.4622,1.07,365
USR0000ATUS,35.99,-112.12,8.42,365
USR0000ATWE,36.5819,-113.7319,14.04,365
USR0000AUCR,64.5167,-143.2022,-1.76,338
USR0000AUMI,69.37,-152.1361,-6.89,365
USR0000AUNI,35.2247,-114.3747,18.85,365
USR0000AVER,34.5539,-111.8492,16.82,365
USR0000AWAR,36.7,-112.23,7.31,365
USR0000AWEI,64.315,-151.0833,15.93,338
