model,r2,rmse,mae
Latitude only,0.6869014379137036,3.284084893003308,2.5026011612856047
Lat + Lon,0.7127222963318715,3.1457542990179808,2.3041811963337793
MOSAIKS only,0.8491860414687509,2.279263879765289,1.6960862344711753
MOSAIKS + Lat,0.8466899242066048,2.2980484866133883,1.6504760445791586
MOSAIKS + Lat + Lon,0.8401948082399872,2.3462229616795214,1.700429984526257
