r2,rmse,mae,model
0.5608805151985122,3.92055247226356,3.1443101345893045,Latitude only
0.5754932908930881,3.854767563387553,3.023236781667773,Lat + Lon
0.8457390814715368,2.3237204132242115,1.8358774944543952,MOSAIKS only
0.8437591881670214,2.3385850020554644,1.8179519438646647,MOSAIKS + Lat
0.8476755854624808,2.3090890162428885,1.807217731743313,MOSAIKS + Lat + Lon
